datetime,temp,feelslike,humidity,precip,windspeed,sealevelpressure,cloudcover,conditions
2023-03-14T00:00:00,12,12,87.57,0,9.4,1022,27.6,Partially cloudy
2023-03-14T01:00:00,12,12,81.88,0,9.4,1022,27.6,Partially cloudy
2023-03-14T02:00:00,10,10,87.38,0,5.4,1023,27.6,Partially cloudy
2023-03-14T03:00:00,10,10,93.5,0,0,1022,27.6,Partially cloudy
2023-03-14T04:00:00,9,9,100,0,0,1022,27.6,Partially cloudy
2023-03-14T05:00:00,8,8,100,0,0,1022,27.6,Partially cloudy
2023-03-14T06:00:00,7.9,7.9,99.05,0,2.1,1023.1,27.9,Partially cloudy
2023-03-14T07:00:00,9,7,100,0,13,1023,27.6,Partially cloudy
2023-03-14T08:00:00,9,7,100,0,13,1024,27.6,Partially cloudy
2023-03-14T09:00:00,11.9,11.9,87.38,0,9.6,1025.1,31.1,Partially cloudy
2023-03-14T10:00:00,14,14,82.14,0,11.2,1025,50,Partially cloudy
2023-03-14T11:00:00,14,14,76.84,0,11.2,1025,89,Partially cloudy
2023-03-14T12:00:00,16.1,16.1,70.17,0,11.8,1025.2,51.6,Partially cloudy
2023-03-14T13:00:00,15,15,67.36,0,13,1025,50,Partially cloudy
2023-03-14T14:00:00,16,16,67.56,0,11.2,1025,27.6,Partially cloudy
2023-03-14T15:00:00,16,16,71.55,0,11.7,1024.1,32.6,Partially cloudy
2023-03-14T16:00:00,15,15,72.04,0,11.2,1024,27.6,Partially cloudy
2023-03-14T17:00:00,15,15,77,0,9.4,1024,27.6,Partially cloudy
2023-03-14T18:00:00,14.2,14.2,80.9,0,6.9,1024,29.5,Partially cloudy
2023-03-14T19:00:00,13,13,87.66,0,3.6,1024,27.6,Partially cloudy
2023-03-14T20:00:00,11,11,93.55,0,1.8,1024,27.6,Partially cloudy
2023-03-14T21:00:00,11,11,100,0,1.8,1024,14.7,Clear
2023-03-14T22:00:00,10,10,100,0,3.6,1023,0,Clear
2023-03-14T23:00:00,10,10,100,0,1.8,1023,0,Clear
2023-03-15T00:00:00,9,9,100,0,3.6,1023,2.7,Clear
2023-03-15T01:00:00,9,7.3,100,0,11.2,1022,18.8,Clear
2023-03-15T02:00:00,9,9,100,0,3.6,1022,47,Partially cloudy
2023-03-15T03:00:00,8,7.4,100,0,5.4,1021,0,Clear
2023-03-15T04:00:00,8,8,93.4,0,3.6,1020,27.6,Partially cloudy
2023-03-15T05:00:00,8,8,93.4,0,0,1020,53.7,Partially cloudy
2023-03-15T06:00:00,6.7,6.1,99.68,0,4.8,1019.2,0,Clear
