datetime,temp,feelslike,humidity,precip,windspeed,sealevelpressure,cloudcover,conditions
2023-03-14T00:00:00,11.6,11.6,88.32,0.125,8.7,1022.1,36.4,"Rain, Partially cloudy"
2023-03-14T01:00:00,11.7,11.7,83.32,0,8.2,1022.1,27.6,Partially cloudy
2023-03-14T02:00:00,9.9,9.6,88.24,0,5.2,1023,27.6,Partially cloudy
2023-03-14T03:00:00,10,10,92.9,0,0.4,1022,36.4,Partially cloudy
2023-03-14T04:00:00,9.1,9.1,98.79,0,0.7,1022,27.6,Partially cloudy
2023-03-14T05:00:00,8.2,8.2,98.94,0,0.4,1022,27.6,Partially cloudy
2023-03-14T06:00:00,8.1,8.1,99.18,0,2.5,1023,36.4,Partially cloudy
2023-03-14T07:00:00,9,7,99.03,0,12.3,1023.1,27.6,Partially cloudy
2023-03-14T08:00:00,9,7.1,99.19,0,12.3,1024,27.6,Partially cloudy
2023-03-14T09:00:00,11.8,11.8,87.84,0,9.1,1025,33.9,Partially cloudy
2023-03-14T10:00:00,13.8,13.8,81.91,0,10.7,1025,50,Partially cloudy
2023-03-14T11:00:00,13.6,13.6,78.22,0,11.6,1025,89,Partially cloudy
2023-03-14T12:00:00,15.5,15.5,74.24,0.104,12.5,1025,56,"Rain, Partially cloudy"
2023-03-14T13:00:00,14.8,14.8,68.04,0,13,1025,50,Partially cloudy
2023-03-14T14:00:00,15.7,15.7,67.07,0,11.4,1024.9,27.6,Partially cloudy
2023-03-14T15:00:00,15.9,15.9,70.64,0,11.6,1024,35.1,Partially cloudy
2023-03-14T16:00:00,14.9,14.9,71.04,0,11.6,1023.9,27.6,Partially cloudy
2023-03-14T17:00:00,14.9,14.9,75.81,0,9.8,1023.9,27.6,Partially cloudy
2023-03-14T18:00:00,13.9,13.9,81.46,0,8,1023.9,35.1,Partially cloudy
2023-03-14T19:00:00,12.9,12.9,87.37,0,4.3,1024,27.6,Partially cloudy
2023-03-14T20:00:00,11.1,11.1,92.58,0,2.5,1024,27.6,Partially cloudy
2023-03-14T21:00:00,11,11,98.72,0,2.5,1024,60,Partially cloudy
2023-03-14T22:00:00,10,10,99.11,0,3.8,1023.1,3.8,Clear
2023-03-14T23:00:00,10.1,10.1,99.19,0,2.5,1023.1,0.3,Clear
2023-03-15T00:00:00,9.2,9.2,99.19,0,4.1,1023,90,Partially cloudy
2023-03-15T01:00:00,9.2,7.6,99.27,0,10.7,1022.1,43.5,Partially cloudy
2023-03-15T02:00:00,9.1,9.1,99.27,0,4.3,1022.1,47.1,Partially cloudy
2023-03-15T03:00:00,8.2,7.5,99.43,0,5.9,1021.1,0,Clear
2023-03-15T04:00:00,8.2,8.2,93.57,0,4.1,1020.1,27.6,Partially cloudy
2023-03-15T05:00:00,8,8,93.79,0,0.9,1020.1,25.6,Partially cloudy
2023-03-15T06:00:00,7.1,6.2,99.59,0,5.9,1019.2,100,Overcast
2023-03-15T07:00:00,8,6.1,93.95,0,10.7,1019.1,39.8,Partially cloudy
2023-03-15T08:00:00,8.9,6.7,93.91,0,13.9,1019.1,0.4,Clear
2023-03-15T09:00:00,10.8,10.8,88.6,0,12.5,1018.1,80,Partially cloudy
2023-03-15T10:00:00,13.6,13.6,78.28,0,15.9,1018.1,6.9,Clear
2023-03-15T11:00:00,15.7,15.7,63.53,0,10.7,1018,5.5,Clear
2023-03-15T12:00:00,17.7,17.7,53.44,0,9.4,1017,10,Clear
2023-03-15T13:00:00,16.9,16.9,59.99,0,14.1,1017,0,Clear
2023-03-15T14:00:00,17.9,17.9,56.1,0,5.7,1015.9,0,Clear
2023-03-15T15:00:00,19.7,19.7,50.38,0,9.1,1014.9,0,Clear
2023-03-15T16:00:00,17.7,17.7,60.68,0,10.7,1014,0,Clear
2023-03-15T17:00:00,17.7,17.7,60.77,0,8.4,1014,0,Clear
2023-03-15T18:00:00,16.5,16.5,54.34,0,6.3,1014,0,Clear
2023-03-15T19:00:00,13.9,13.9,71.54,0,1.3,1014,0,Clear
2023-03-15T20:00:00,11.9,11.9,77.45,0,0.7,1014.1,0,Clear
2023-03-15T21:00:00,11,11,81.02,0,3.6,1014,0,Clear
2023-03-15T22:00:00,11.9,11.9,75.45,0,11.6,1013,0,Clear
2023-03-15T23:00:00,11.1,11.1,79.7,0,8,1012,0,Clear
2023-03-16T00:00:00,11,11,81.54,0,10.1,1012.1,0,Clear
2023-03-16T01:00:00,10.9,10.9,82.75,0,5.9,1012,3.7,Clear
2023-03-16T02:00:00,9.1,9.1,87.44,0,0.4,1011.9,90.5,Overcast
2023-03-16T03:00:00,9.9,9,86.38,0,7.8,1011,40,Partially cloudy
2023-03-16T04:00:00,10,10,86.1,0,11.6,1010,35.4,Partially cloudy
2023-03-16T05:00:00,9.1,7.6,86.44,0,10,1010,4.5,Clear
2023-03-16T06:00:00,9,8.2,86.79,0,6.6,1010,29.1,Partially cloudy
2023-03-16T07:00:00,9.1,7.3,92.62,0,11.4,1010,100,Overcast
2023-03-16T08:00:00,10,10,92.75,0,11.8,1010,27.6,Partially cloudy
2023-03-16T09:00:00,12.8,12.8,87.36,0,15.5,1010.9,54.8,Partially cloudy
2023-03-16T10:00:00,13.9,13.9,85.87,0,21,1010.9,27.6,Partially cloudy
2023-03-16T11:00:00,15.7,15.7,76.5,0,22.5,1009.9,27.6,Partially cloudy
2023-03-16T12:00:00,17.4,17.4,68.83,0,24.8,1008,100,Overcast
2023-03-16T13:00:00,14.8,14.8,81.59,0,17.1,1008.8,100,Overcast
2023-03-16T14:00:00,14.7,14.7,82.03,0,17,1007.9,50,Partially cloudy
2023-03-16T15:00:00,14.6,14.6,83.07,0.167,20,1008,56,"Rain, Partially cloudy"
2023-03-16T16:00:00,14.5,14.5,88.7,0,17.9,1008,50,Partially cloudy
2023-03-16T17:00:00,13.7,13.7,93.98,0,16.6,1007.9,89,Partially cloudy
2023-03-16T18:00:00,12.8,12.8,99.61,2.507,24.3,1008,90.4,"Rain, Overcast"
2023-03-16T19:00:00,12.8,12.8,99.61,0,14.8,1008,89,Partially cloudy
2023-03-16T20:00:00,12.8,12.8,99.76,0,17.5,1009,89,Partially cloudy
2023-03-16T21:00:00,13.7,13.7,94.05,1.254,12,1009,100,"Rain, Overcast"
2023-03-16T22:00:00,13.6,13.6,93.9,0,13.2,1009,89,Partially cloudy
2023-03-16T23:00:00,13.7,13.7,99.22,0,16.1,1009,89,Partially cloudy
2023-03-17T00:00:00,13.6,13.6,93.83,0,15.7,1008.9,90.4,Overcast
2023-03-17T01:00:00,13.6,13.6,94.05,0,17.3,1009,89,Partially cloudy
2023-03-17T02:00:00,12.7,12.7,93.41,0,21.2,1009,89,Partially cloudy
2023-03-17T03:00:00,12.7,12.7,87.56,0.125,15.7,1008.9,36.4,"Rain, Partially cloudy"
2023-03-17T04:00:00,12.6,12.6,93.34,0,11.6,1008.9,27.6,Partially cloudy
2023-03-17T05:00:00,12.6,12.6,88.19,0,12,1009.8,27.6,Partially cloudy
2023-03-17T06:00:00,12.7,12.7,87.99,0.021,18.6,1009.8,35.1,"Rain, Partially cloudy"
2023-03-17T07:00:00,12.6,12.6,88.19,0,17.5,1009.9,89,Partially cloudy
2023-03-17T08:00:00,12.7,12.7,93.93,0,21.4,1010.8,50,Partially cloudy
2023-03-17T09:00:00,13.6,13.6,87.93,0.627,20.7,1010.8,90.4,"Rain, Overcast"
2023-03-17T10:00:00,14.5,14.5,88.29,0,22.5,1011.8,89,Partially cloudy
2023-03-17T11:00:00,14.5,14.5,83.39,0,17.7,1011.9,50,Partially cloudy
2023-03-17T12:00:00,14.7,14.7,81.77,1.045,24.1,1012.8,51.2,"Rain, Partially cloudy"
2023-03-17T13:00:00,12.4,12.4,87.75,0,14.3,1013,89,Partially cloudy
2023-03-17T14:00:00,14.6,14.6,78.06,0,18.1,1012.8,50,Partially cloudy
2023-03-17T15:00:00,14.7,14.7,81.7,1.045,17.9,1012.8,97.6,"Rain, Overcast"
2023-03-17T16:00:00,13.8,13.8,80.03,0,21.2,1012.9,50,Partially cloudy
2023-03-17T17:00:00,13.8,13.8,81.51,0,14.1,1012.9,50,Partially cloudy
2023-03-17T18:00:00,13.7,13.7,81.9,0.063,18.6,1013,87.9,"Rain, Partially cloudy"
2023-03-17T19:00:00,12.7,12.7,81.05,0,15,1014,50,Partially cloudy
2023-03-17T20:00:00,13.5,13.5,83.2,0,17.3,1014,89,Partially cloudy
2023-03-17T21:00:00,12.6,12.6,83.23,0.167,10.5,1014.9,35.1,"Rain, Partially cloudy"
2023-03-17T22:00:00,11.7,11.7,88.11,0,15.7,1015,50,Partially cloudy
2023-03-17T23:00:00,11.7,11.7,93.81,0,5.7,1015,27.6,Partially cloudy
2023-03-18T00:00:00,11.7,11.7,83.39,0.418,9,1015.9,27.6,"Rain, Partially cloudy"
2023-03-18T01:00:00,10.9,10.9,88.11,0,6.3,1015.9,50,Partially cloudy
2023-03-18T02:00:00,12.7,12.7,83.17,0,9.8,1015.9,50,Partially cloudy
2023-03-18T03:00:00,11.8,11.8,93.82,0.836,10.5,1015.9,50,"Rain, Partially cloudy"
2023-03-18T04:00:00,12.7,12.7,88.41,0,11.4,1015.8,50,Partially cloudy
2023-03-18T05:00:00,11.8,11.8,93.9,0,10.9,1015.9,50,Partially cloudy
2023-03-18T06:00:00,11.8,11.8,93.67,1.045,6.7,1016,56,"Rain, Partially cloudy"
2023-03-18T07:00:00,12.7,12.7,93.49,0,9.4,1016.9,50,Partially cloudy
2023-03-18T08:00:00,11.8,11.8,99.13,0,8.4,1017.9,50,Partially cloudy
2023-03-18T09:00:00,12.8,12.8,99.05,0.627,10.9,1018,56,"Rain, Partially cloudy"
2023-03-18T10:00:00,13.7,13.7,87.94,0,11.8,1018.9,89,Partially cloudy
2023-03-18T11:00:00,14.6,14.6,82.87,0,16.6,1019,50,Partially cloudy
2023-03-18T12:00:00,13.8,13.8,87.52,0.063,20,1019,90.4,"Rain, Overcast"
2023-03-18T13:00:00,13.8,13.8,92.8,0,14.3,1020,89,Partially cloudy
2023-03-18T14:00:00,14.7,14.7,87.61,0,17.9,1019.9,89,Partially cloudy
2023-03-18T15:00:00,14.7,14.7,87.12,0,16.3,1020,89.2,Partially cloudy
2023-03-18T16:00:00,14.7,14.7,82.43,0,19.6,1020,50,Partially cloudy
2023-03-18T17:00:00,13.7,13.7,87.73,0,13.2,1020,89,Partially cloudy
2023-03-18T18:00:00,12.8,12.8,92.68,0,13.4,1021,54.8,Partially cloudy
2023-03-18T19:00:00,11.9,11.9,92.7,0,5.9,1021.1,27.6,Partially cloudy
2023-03-18T20:00:00,11,11,98.17,0,8.4,1022,40.2,Partially cloudy
2023-03-18T21:00:00,11,11,97.78,0,7.6,1022.1,35.1,Partially cloudy
2023-03-18T22:00:00,10.1,10.1,98.55,0,3.6,1022.1,27.6,Partially cloudy
2023-03-18T23:00:00,10,10,99.27,0,3.2,1023.1,27.6,Partially cloudy
2023-03-19T00:00:00,9.1,9.1,99.11,0,3.6,1023.1,36.4,Partially cloudy
2023-03-19T01:00:00,9,9,99.19,0,0.4,1023.1,27.6,Partially cloudy
2023-03-19T02:00:00,8.1,8.1,99.18,0,3.6,1023.1,27.6,Partially cloudy
2023-03-19T03:00:00,8.1,6.5,99.35,0,9.1,1022.2,24.3,Partially cloudy
2023-03-19T04:00:00,8,8,99.75,0,0.7,1022.1,27.6,Partially cloudy
2023-03-19T05:00:00,7,7,99.75,0,3.4,1022.2,27.6,Partially cloudy
2023-03-19T06:00:00,6.2,6.2,99.42,0,3.6,1023.2,30.3,Partially cloudy
2023-03-19T07:00:00,6.1,5.3,99.33,0,5.2,1023.1,61.5,Partially cloudy
2023-03-19T08:00:00,8.9,8.5,98.94,0,5,1023.1,47.8,Partially cloudy
2023-03-19T09:00:00,10.8,10.8,87.81,0,10,1023.2,4.1,Clear
2023-03-19T10:00:00,11.7,11.7,88.11,0,15.5,1024,27.6,Partially cloudy
2023-03-19T11:00:00,14.7,14.7,77.5,0,4.1,1023.1,27.6,Partially cloudy
2023-03-19T12:00:00,14.9,14.9,76.31,0,11.8,1023.1,33.9,Partially cloudy
2023-03-19T13:00:00,16,16,74.91,0,8.7,1022.1,27.6,Partially cloudy
2023-03-19T14:00:00,16,16,70.5,0,12,1022,100,Overcast
2023-03-19T15:00:00,16,16,66.74,0,15,1022,80,Partially cloudy
2023-03-19T16:00:00,15.9,15.9,67.11,0,11.8,1022,79.3,Partially cloudy
2023-03-19T17:00:00,14.9,14.9,71.14,0,15.2,1022.1,74.5,Partially cloudy
2023-03-19T18:00:00,13.9,13.9,76.38,0,14.8,1022.1,50,Partially cloudy
2023-03-19T19:00:00,12,12,81.21,0,8,1022.1,85.2,Partially cloudy
2023-03-19T20:00:00,10.9,10.9,87.26,0,10.7,1022.2,100,Overcast
2023-03-19T21:00:00,10,10,87.03,0,5.7,1023,50,Partially cloudy
2023-03-19T22:00:00,9,9,92.84,0,3.4,1022.2,100,Overcast
2023-03-19T23:00:00,9,9,99.03,0,0.4,1022.2,100,Overcast
2023-03-20T00:00:00,9,8.5,98.95,0,5.2,1022.1,0,Clear
2023-03-20T01:00:00,8.9,8.5,99.11,0,5.2,1022.1,100,Overcast
2023-03-20T02:00:00,9,9,99.11,0,4.7,1022,100,Overcast
2023-03-20T03:00:00,9.1,8.7,98.54,0,4.9,1021.1,0,Clear
2023-03-20T04:00:00,9,8.2,99.03,0,6.3,1021.1,100,Overcast
2023-03-20T05:00:00,8,8,99.34,0,1.3,1021.1,60.1,Partially cloudy
2023-03-20T06:00:00,6.5,5.5,93.48,0,5.7,1021.1,0,Clear
2023-03-20T07:00:00,7.3,7.3,99.59,0,0.4,1021.2,27.6,Partially cloudy
2023-03-20T08:00:00,9.2,8.9,98.95,0,5,1022,27.6,Partially cloudy
2023-03-20T09:00:00,12.5,12.5,88.6,0,5.9,1022,100,Overcast
2023-03-20T10:00:00,14.7,14.7,73.98,0,8,1022,100,Overcast
2023-03-20T11:00:00,16.8,16.8,68.27,0,11.4,1022,58.3,Partially cloudy
2023-03-20T12:00:00,17.9,17.9,67.15,0,10,1021.9,80,Partially cloudy
2023-03-20T13:00:00,17.6,17.6,68.99,0,12.7,1021,32.7,Partially cloudy
2023-03-20T14:00:00,18.6,18.6,68.91,0,12.5,1021,46,Partially cloudy
2023-03-20T15:00:00,15.9,15.9,81.59,0,12.5,1021,60,Partially cloudy
2023-03-20T16:00:00,15.8,15.8,81.77,0,14.3,1021,44.4,Partially cloudy
2023-03-20T17:00:00,14.8,14.8,81.77,0,14.3,1020.1,44.2,Partially cloudy
2023-03-20T18:00:00,13.7,13.7,82.03,0,14.1,1020.1,31.5,Partially cloudy
2023-03-20T19:00:00,11.9,11.9,87.06,0,8.9,1021.1,27.6,Partially cloudy
2023-03-20T20:00:00,11.8,11.8,87.55,0,5,1021,50,Partially cloudy
2023-03-20T21:00:00,10.8,10.8,93.16,0,5.4,1021.1,31.5,Partially cloudy
2023-03-20T22:00:00,10,10,92.82,0,0.4,1021.1,89,Partially cloudy
2023-03-20T23:00:00,10.9,10.9,98.64,0,0.7,1022,89,Partially cloudy
2023-03-21T00:00:00,11.7,11.7,93.21,0,1.6,1022,89.2,Partially cloudy
2023-03-21T01:00:00,11.8,11.8,87.76,0,2.7,1021.1,89,Partially cloudy
2023-03-21T02:00:00,11.7,11.7,88.47,0,5.9,1021,89,Partially cloudy
2023-03-21T03:00:00,11.7,11.7,88.61,0.042,7.6,1020.1,90.4,"Rain, Overcast"
2023-03-21T04:00:00,11.7,11.7,88.47,0,3.6,1020.1,89,Partially cloudy
2023-03-21T05:00:00,10.8,10.8,93.92,0,9.1,1020.1,89,Partially cloudy
2023-03-21T06:00:00,10.8,10.8,94,0.042,9.1,1020.1,90.4,"Rain, Overcast"
2023-03-21T07:00:00,10.8,10.8,88.53,0,8,1020.1,89,Partially cloudy
2023-03-21T08:00:00,11.7,11.7,88.76,0,9.1,1020.1,50,Partially cloudy
2023-03-21T09:00:00,12.7,12.7,88.91,0,5.2,1021.1,89,Partially cloudy
2023-03-21T10:00:00,13.6,13.6,83.68,0,10.9,1021.1,89,Partially cloudy
2023-03-21T11:00:00,14.9,14.9,77.29,0,7.3,1021,89,Partially cloudy
2023-03-21T12:00:00,16,16,75.33,0,7.1,1021,27.6,Partially cloudy
2023-03-21T13:00:00,15.9,15.9,76.41,0,13.4,1020,27.6,Partially cloudy
2023-03-21T14:00:00,16,16,76.17,0,13.2,1019.9,27.6,Partially cloudy
2023-03-21T15:00:00,15,15,80.13,0,13.2,1019,27.9,Partially cloudy
2023-03-21T16:00:00,15.9,15.9,76.22,0,13.4,1019,27.6,Partially cloudy
2023-03-21T17:00:00,14.8,14.8,81.26,0,15.2,1019,27.6,Partially cloudy
2023-03-21T18:00:00,13.8,13.8,81.85,0,12.4,1019,30.3,Partially cloudy
2023-03-21T19:00:00,12.8,12.8,87.71,0,10.2,1019,100,Overcast
2023-03-21T20:00:00,11.9,11.9,93.45,0,7.1,1019,100,Overcast
2023-03-21T21:00:00,11.4,11.4,90.46,0,6.1,1019,57.8,Partially cloudy
2023-03-21T22:00:00,11.8,11.8,93.37,0,3.8,1019,89,Partially cloudy
2023-03-21T23:00:00,10.9,10.9,99.36,0,3.8,1019,50,Partially cloudy
2023-03-22T00:00:00,10.8,10.8,99.2,0,3,1019,54.8,Partially cloudy
2023-03-22T01:00:00,10.8,10.8,99.44,0,1.1,1018.1,50,Partially cloudy
2023-03-22T02:00:00,10.8,10.8,93.77,0,9.4,1018,27.6,Partially cloudy
2023-03-22T03:00:00,9.9,8.6,99.6,0,9.4,1017.1,54.8,Partially cloudy
2023-03-22T04:00:00,9.9,8.4,99.35,0,10.7,1017,50,Partially cloudy
2023-03-22T05:00:00,10.7,10.7,93.77,0,13.4,1017,50,Partially cloudy
2023-03-22T06:00:00,10.8,10.8,93.54,0,14.8,1017,35.1,Partially cloudy
2023-03-22T07:00:00,9.9,8.3,93.65,0,11.2,1017,27.6,Partially cloudy
2023-03-22T08:00:00,11.8,11.8,87.76,0,11.2,1017.1,27.6,Partially cloudy
2023-03-22T09:00:00,12.8,12.8,82.65,0,13.2,1017,56,Partially cloudy
2023-03-22T10:00:00,14.6,14.6,77.87,0,15,1017.9,89,Partially cloudy
2023-03-22T11:00:00,14.7,14.7,73.21,0,14.8,1017,50,Partially cloudy
2023-03-22T12:00:00,14.8,14.8,72.81,0,15.2,1017.9,56,Partially cloudy
2023-03-22T13:00:00,14.9,14.9,72.42,0,17,1017.8,89,Partially cloudy
2023-03-22T14:00:00,15.8,15.8,71.89,0,17,1016.9,27.6,Partially cloudy
2023-03-22T15:00:00,14.9,14.9,76.24,0,17.7,1016.8,56,Partially cloudy
2023-03-22T16:00:00,15.7,15.7,76.8,0,19.3,1015.9,50,Partially cloudy
2023-03-22T17:00:00,14.8,14.8,77.09,0,17.7,1015.9,50,Partially cloudy
2023-03-22T18:00:00,13.8,13.8,81.92,0,17.3,1016,56,Partially cloudy
2023-03-22T19:00:00,13.8,13.8,82.12,0,15.7,1015.9,50,Partially cloudy
2023-03-22T20:00:00,13.8,13.8,87.38,0,16.6,1015.9,89,Partially cloudy
2023-03-22T21:00:00,13.8,13.8,87.94,0,16.3,1016.8,56,Partially cloudy
2023-03-22T22:00:00,13.7,13.7,88.63,0,16.6,1016.8,89,Partially cloudy
2023-03-22T23:00:00,13.7,13.7,88.78,0,16.8,1016.8,89,Partially cloudy
2023-03-23T00:00:00,13.7,13.7,88.78,0.042,18.4,1016.8,100,"Rain, Overcast"
2023-03-23T01:00:00,13.7,13.7,88.78,0,19.1,1015.8,89,Partially cloudy
2023-03-23T02:00:00,13.7,13.7,88.78,0,17.5,1014.9,100,Overcast
2023-03-23T03:00:00,13.7,13.7,88.78,0.167,18.9,1014,100,"Rain, Overcast"
2023-03-23T04:00:00,12.8,12.8,94.02,0,17.7,1013.9,100,Overcast
2023-03-23T05:00:00,12.8,12.8,99.61,0,17.7,1013.9,100,Overcast
2023-03-23T06:00:00,12.8,12.8,99.76,0,17.5,1013.8,100,Overcast
2023-03-23T07:00:00,12.8,12.8,94.02,0,21.2,1013.8,100,Overcast
2023-03-23T08:00:00,13.7,13.7,88.78,0,19.1,1013.9,100,Overcast
2023-03-23T09:00:00,13.7,13.7,88.64,0,27.7,1013.9,100,Overcast
2023-03-23T10:00:00,14.6,14.6,83.73,0,26.6,1014.8,100,Overcast
2023-03-23T11:00:00,14.6,14.6,83.87,0,31.4,1014.8,100,Overcast
2023-03-23T12:00:00,13.8,13.8,94.06,0,28.4,1014.8,100,Overcast
2023-03-23T13:00:00,13.8,13.8,99.61,0,27.1,1014.8,100,Overcast
2023-03-23T14:00:00,14.7,14.7,93.95,0,32.8,1013.9,89,Partially cloudy
2023-03-23T15:00:00,14.7,14.7,94.03,0,30.5,1013.8,89,Partially cloudy
2023-03-23T16:00:00,14.8,14.8,91.92,0,29.8,1013.8,94.9,Overcast
2023-03-23T17:00:00,14.7,14.7,88.65,0,31.4,1013.7,100,Overcast
2023-03-23T18:00:00,14.7,14.7,88.79,0,28.4,1013.8,100,Overcast
2023-03-23T19:00:00,13.8,13.8,99.61,0,28.4,1013.8,100,Overcast
2023-03-23T20:00:00,13.9,13.9,93.92,0,28.6,1013.8,100,Overcast
2023-03-23T21:00:00,14,14,93.33,0,29.1,1014.8,100,Overcast
2023-03-23T22:00:00,13.9,13.9,99.06,0,25.7,1014.8,100,Overcast
2023-03-23T23:00:00,14.8,14.8,93.59,0,27.3,1014.8,100,Overcast
2023-03-24T00:00:00,14.6,14.6,94.02,0,25.3,1014.9,100,Overcast
2023-03-24T01:00:00,14.6,14.6,93.95,0,26.4,1014.9,100,Overcast
2023-03-24T02:00:00,14.6,14.6,93.51,0,22.3,1015,100,Overcast
2023-03-24T03:00:00,12.8,12.8,93.64,0,20.3,1015,100,Overcast
2023-03-24T04:00:00,12.8,12.8,93.27,0,13.9,1015.1,100,Overcast
2023-03-24T05:00:00,11,11,99.2,0,10.2,1016,100,Overcast
2023-03-24T06:00:00,10.9,10.9,99.36,4.617,0.4,1017,89.2,"Rain, Partially cloudy"
2023-03-24T07:00:00,11.8,11.8,93.74,0,2.5,1018,100,Overcast
2023-03-24T08:00:00,11.8,11.8,99.44,0,7.1,1019,50,Partially cloudy
2023-03-24T09:00:00,14.7,14.7,87.74,0,3.8,1019.9,54.8,Partially cloudy
2023-03-24T10:00:00,14.7,14.7,81.25,0,8.4,1020.9,50,Partially cloudy
2023-03-24T11:00:00,14.9,14.9,75.75,0,8.6,1021,50,Partially cloudy
2023-03-24T12:00:00,15.8,15.8,75.09,0,11.4,1022.1,74.2,Partially cloudy
2023-03-24T13:00:00,15.8,15.8,75.79,0,13.9,1022,89,Partially cloudy
2023-03-24T14:00:00,15.8,15.8,75.48,0,12,1022,89,Partially cloudy
2023-03-24T15:00:00,16.7,16.7,70.91,0,13.4,1022,51.2,Partially cloudy
2023-03-24T16:00:00,15.7,15.7,71.07,0,15,1022,50,Partially cloudy
2023-03-24T17:00:00,15.7,15.7,66.68,0,11.6,1022,27.6,Partially cloudy
2023-03-24T18:00:00,14.7,14.7,71.92,0,10,1023,31.5,Partially cloudy
2023-03-24T19:00:00,13.8,13.8,81.65,0,5.7,1023,27.6,Partially cloudy
2023-03-24T20:00:00,12,12,86.79,0,4.3,1023,36.8,Partially cloudy
2023-03-24T21:00:00,11,11,87.26,0,0.4,1023.1,30.3,Partially cloudy
2023-03-24T22:00:00,9.9,9.1,98.87,0,7.6,1023.2,27.6,Partially cloudy
2023-03-24T23:00:00,9,9,99.11,0,3.8,1024.1,27.6,Partially cloudy
2023-03-25T00:00:00,9,9,99.11,0,0.9,1024.1,24.3,Partially cloudy
2023-03-25T01:00:00,8.9,8.9,93.3,0,4.1,1024.1,53.6,Partially cloudy
2023-03-25T02:00:00,8.9,8.9,99.27,0,1.3,1024,39.8,Partially cloudy
2023-03-25T03:00:00,8.8,6.8,99.35,0,12.7,1023.1,50,Partially cloudy
2023-03-25T04:00:00,7.9,5.7,99.34,0,12.5,1023.1,51.8,Partially cloudy
2023-03-25T05:00:00,8.7,6.4,99.35,0,15,1023,96.8,Overcast
2023-03-25T06:00:00,8.7,6.4,99.02,0,14.5,1023,30,Partially cloudy
2023-03-25T07:00:00,8.7,6.1,93.21,0,16.8,1023,93.7,Overcast
2023-03-25T08:00:00,9.7,7.8,92.96,0,13.2,1023,91.3,Overcast
2023-03-25T09:00:00,11.7,11.7,87.05,0,14.8,1023,90,Partially cloudy
2023-03-25T10:00:00,14.6,14.6,72.72,0,16.3,1023.8,27.6,Partially cloudy
2023-03-25T11:00:00,15.6,15.6,63.96,0,20.7,1022.9,27.6,Partially cloudy
2023-03-25T12:00:00,15.8,15.8,63.64,0,20.3,1022.8,90.4,Overcast
2023-03-25T13:00:00,16.6,16.6,67.9,0,25.3,1022.8,89,Partially cloudy
2023-03-25T14:00:00,14.9,14.9,71.6,0,23,1022.7,89,Partially cloudy
2023-03-25T15:00:00,14.7,14.7,73.56,0,25.2,1021.9,90.4,Overcast
2023-03-25T16:00:00,14.6,14.6,74.15,0,25,1021.8,89,Partially cloudy
2023-03-25T17:00:00,14.7,14.7,83.67,0,27.7,1021.8,89,Partially cloudy
2023-03-25T18:00:00,14.7,14.7,88.51,0,23,1021.8,90.4,Overcast
2023-03-25T19:00:00,14.8,14.8,88.38,0,23.4,1020.9,89,Partially cloudy
2023-03-25T20:00:00,14.7,14.7,93.95,0,20.5,1020.9,89,Partially cloudy
2023-03-25T21:00:00,14.6,14.6,99.3,0,19.7,1021.9,90.4,Overcast
2023-03-25T22:00:00,14.6,14.6,93.88,0,16.1,1022,89,Partially cloudy
2023-03-25T23:00:00,12.9,12.9,99.21,0,18.1,1022,89,Partially cloudy
2023-03-26T00:00:00,13.7,13.7,99.06,1.254,8,1022.1,90.4,"Rain, Overcast"
2023-03-26T02:00:00,13.7,13.7,92.72,0,11.2,1022.1,89,Partially cloudy
2023-03-26T03:00:00,12.7,12.7,92.74,0,8.7,1022.1,50,Partially cloudy
2023-03-26T04:00:00,12.6,12.6,92.52,0,8.7,1022.1,89.2,Partially cloudy
2023-03-26T05:00:00,11.7,11.7,93.36,0,7.1,1022.1,89,Partially cloudy
2023-03-26T06:00:00,10.7,10.7,99.04,0,1.8,1023,27.6,Partially cloudy
2023-03-26T07:00:00,9.8,9.5,99.19,0,5.2,1023.1,35.1,Partially cloudy
2023-03-26T08:00:00,9.8,9,99.11,0,7.1,1024,27.6,Partially cloudy
2023-03-26T09:00:00,11.8,11.8,86.15,0,5.2,1025,27.6,Partially cloudy
2023-03-26T10:00:00,12.8,12.8,76.15,0,14.3,1025,27.6,Partially cloudy
2023-03-26T11:00:00,13.8,13.8,75.7,0,16.1,1026,27.6,Partially cloudy
2023-03-26T12:00:00,14.8,14.8,67.75,0,14.8,1026,27.6,Partially cloudy
2023-03-26T13:00:00,15.7,15.7,63.62,0,15.1,1026,33.9,Partially cloudy
