Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),dt
2021-09-29,0,0.0,0.0,0.0,,1632873600
2021-09-29,1,0.0,0.0,0.0,,1632877200
2021-09-29,2,0.0,0.0,0.0,,1632880800
2021-09-29,3,0.0,0.0,0.0,,1632884400
2021-09-29,4,0.0,0.0,0.0,,1632888000
2021-09-29,5,0.0,0.0,0.0,,1632891600
2021-09-29,6,0.0,0.0,0.0,,1632895200
2021-09-29,7,0.0,0.0,0.0,,1632898800
2021-09-29,8,0.0,0.0,0.0,,1632902400
2021-09-29,9,0.0,0.0,0.0,,1632906000
2021-09-29,10,0.0,0.0,0.0,,1632909600
2021-09-29,11,0.0,0.0,0.0,,1632913200
2021-09-29,12,0.0,0.0,0.0,,1632916800
2021-09-29,13,0.0,0.0,0.0,,1632920400
2021-09-29,14,0.0,0.0,0.0,,1632924000
2021-09-29,15,0.215,0.0,0.0,,1632927600
2021-09-29,16,0.433,0.0,0.149,Low,1632931200
2021-09-29,17,0.292,0.0,0.315,Low,1632934800
2021-09-29,18,0.522,0.0,0.06,,1632938400
2021-09-29,19,0.581,0.0,0.0,,1632942000
2021-09-29,20,0.506,0.0,0.0,,1632945600
2021-09-29,21,0.534,0.0,0.0,,1632949200
2021-09-29,22,0.726,0.0,0.0,,1632952800
2021-09-29,23,0.662,0.0,0.0,,1632956400
2021-09-30,0,0.704,0.0,0.0,,1632960000
2021-09-30,1,0.466,0.0,0.0,,1632963600
2021-09-30,2,0.356,0.0,0.0,,1632967200
2021-09-30,3,0.355,0.0,0.0,,1632970800
2021-09-30,4,0.346,0.0,0.0,,1632974400
2021-09-30,5,0.351,0.0,0.0,,1632978000
2021-09-30,6,0.454,0.0,0.0,,1632981600
2021-09-30,7,0.372,0.0,0.002,,1632985200
2021-09-30,8,0.366,0.0,0.228,Medium,1632988800
2021-09-30,9,0.0,0.0,0.268,High,1632992400
2021-09-30,10,0.0,0.0,0.268,High,1632996000
2021-09-30,11,0.0,0.0,0.278,Very High,1632999600
2021-09-30,12,0.026,0.0,0.352,Very High,1633003200
2021-09-30,13,0.003,0.0,0.378,High,1633006800
2021-09-30,14,0.0,0.0,0.45,High,1633010400
2021-09-30,15,0.0,0.0,0.42,High,1633014000
2021-09-30,16,0.054,0.0,0.35,High,1633017600
2021-09-30,17,0.105,0.0,0.216,Low,1633021200
2021-09-30,18,0.419,0.0,0.032,,1633024800
2021-09-30,19,0.341,0.0,0.0,,1633028400
2021-09-30,20,0.585,0.0,0.0,,1633032000
2021-09-30,21,0.523,0.0,0.0,,1633035600
2021-09-30,22,0.562,0.0,0.0,,1633039200
2021-09-30,23,0.599,0.0,0.0,,1633042800
2021-10-01,0,0.611,0.0,0.0,,1633046400
2021-10-01,1,0.557,0.0,0.0,,1633050000
2021-10-01,2,0.446,0.0,0.0,,1633053600
