dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description
1630454400,2021-09-01 00:00:00 +0000 UTC,local,18.74,18.84,15.72,20.34,1015,None,None,83,1.18,None,78,broken clouds
1630458000,2021-09-01 01:00:00 +0000 UTC,local,18.73,18.83,15.72,20.34,1014,None,None,83,1.46,None,92,overcast clouds
1630461600,2021-09-01 02:00:00 +0000 UTC,local,17.84,17.98,16.72,20.34,1014,None,None,88,1.05,None,91,overcast clouds
1630465200,2021-09-01 03:00:00 +0000 UTC,local,18.27,18.4,16.68,20.34,1014,None,None,86,0.46,0.14,94,light rain
1630468800,2021-09-01 04:00:00 +0000 UTC,local,17.81,17.97,16.12,20.34,1013,None,None,89,0.93,1.26,95,moderate rain
1630472400,2021-09-01 05:00:00 +0000 UTC,local,17.89,18.06,16.12,17.93,1014,None,None,89,1.1,0.96,94,light rain
1630476000,2021-09-01 06:00:00 +0000 UTC,local,18.27,18.48,16.12,18.48,1014,None,None,89,1.21,0.11,93,light rain
1630479600,2021-09-01 07:00:00 +0000 UTC,local,19.44,19.69,16.68,19.59,1015,None,None,86,1.27,4.55,95,heavy intensity rain
1630483200,2021-09-01 08:00:00 +0000 UTC,local,18.92,19.19,16.68,19.04,1015,None,None,89,2.33,3.38,99,moderate rain
1630486800,2021-09-01 09:00:00 +0000 UTC,local,18.98,19.28,17.23,19.04,1015,None,None,90,2.23,0.52,100,light rain
1630490400,2021-09-01 10:00:00 +0000 UTC,local,21.63,21.86,18.43,21.82,1016,None,None,77,3.24,0.79,100,light rain
1630494000,2021-09-01 11:00:00 +0000 UTC,local,24.4,24.62,20.57,24.59,1015,None,None,66,1.86,0.57,99,light rain
1630497600,2021-09-01 12:00:00 +0000 UTC,local,23.84,24.0,20.67,24.04,1015,None,None,66,1.46,0.34,97,light rain
1630501200,2021-09-01 13:00:00 +0000 UTC,local,25.47,25.67,21.72,25.7,1015,None,None,61,1.26,None,88,overcast clouds
1630504800,2021-09-01 14:00:00 +0000 UTC,local,26.97,27.7,20.72,27.37,1015,None,None,55,0.41,None,96,overcast clouds
1630508400,2021-09-01 15:00:00 +0000 UTC,local,27.51,28.32,20.72,27.93,1015,None,None,55,0.54,None,98,overcast clouds
1630512000,2021-09-01 16:00:00 +0000 UTC,local,26.61,26.61,22.72,26.82,1015,None,None,64,1.18,0.46,99,light rain
1630515600,2021-09-01 17:00:00 +0000 UTC,local,23.34,23.66,22.72,23.85,1015,None,None,74,2.01,None,99,overcast clouds
1630519200,2021-09-01 18:00:00 +0000 UTC,local,21.74,21.98,21.68,22.33,1015,None,None,77,2.04,None,96,overcast clouds
1630522800,2021-09-01 19:00:00 +0000 UTC,local,19.96,20.13,19.72,20.67,1015,None,None,81,1.84,None,98,overcast clouds
1630526400,2021-09-01 20:00:00 +0000 UTC,local,19.68,19.87,18.72,21.21,1015,None,None,83,1.94,None,100,overcast clouds
1630530000,2021-09-01 21:00:00 +0000 UTC,local,20.03,20.28,18.12,20.66,1016,None,None,84,1.18,None,99,overcast clouds
1630533600,2021-09-01 22:00:00 +0000 UTC,local,19.88,20.09,17.72,20.15,1016,None,None,83,2.13,None,95,overcast clouds
1630537200,2021-09-01 23:00:00 +0000 UTC,local,18.03,18.29,17.57,18.44,1016,None,None,92,1.79,None,96,overcast clouds
1630540800,2021-09-02 00:00:00 +0000 UTC,local,19.33,19.59,17.01,19.59,1017,None,None,87,1.52,None,100,overcast clouds
1630544400,2021-09-02 01:00:00 +0000 UTC,local,18.37,18.59,17.01,18.48,1017,None,None,89,1.44,None,97,overcast clouds
1630548000,2021-09-02 02:00:00 +0000 UTC,local,18.29,18.55,16.72,18.48,1016,None,None,91,0.14,None,97,overcast clouds
1630551600,2021-09-02 03:00:00 +0000 UTC,local,17.81,18.05,16.68,17.93,1016,None,None,92,1.11,None,95,overcast clouds
1630555200,2021-09-02 04:00:00 +0000 UTC,local,18.17,18.42,15.72,18.48,1016,None,None,91,1.09,None,28,scattered clouds
1630558800,2021-09-02 05:00:00 +0000 UTC,local,18.25,18.48,16.68,18.48,1016,None,None,90,1.32,None,9,sky is clear
1630562400,2021-09-02 06:00:00 +0000 UTC,local,18.22,18.45,16.12,18.48,1016,None,None,90,1.58,None,13,few clouds
1630566000,2021-09-02 07:00:00 +0000 UTC,local,17.76,17.94,16.68,17.93,1017,None,None,90,1.59,None,24,few clouds
1630569600,2021-09-02 08:00:00 +0000 UTC,local,18.59,18.85,17.23,19.72,1017,None,None,90,1.78,None,40,scattered clouds
1630573200,2021-09-02 09:00:00 +0000 UTC,local,19.7,19.97,19.59,21.77,1017,None,None,86,2.13,None,73,broken clouds
1630576800,2021-09-02 10:00:00 +0000 UTC,local,21.76,22.13,20.72,23.99,1018,None,None,82,1.13,None,98,overcast clouds
1630580400,2021-09-02 11:00:00 +0000 UTC,local,21.76,22.03,20.57,23.99,1018,None,None,78,1.7,None,79,broken clouds
1630584000,2021-09-02 12:00:00 +0000 UTC,local,22.48,22.74,21.12,24.23,1018,None,None,75,2.5,None,82,broken clouds
1630587600,2021-09-02 13:00:00 +0000 UTC,local,23.67,23.92,21.68,25.66,1018,None,None,70,2.71,None,72,broken clouds
